RunId,table_name,Warning_attributes,Rejected_attributes,primary_key_val
local-1597416320622,AIT_Table_1,[ApplicationType:null],[AppID:null],2
local-1597416320622,AIT_Table_1,"[AppShortName:null, AppFullName:null, AppUseWebTech:null]",[AppID:null],4
local-1597416320622,AIT_Table_1,[AppDescription:null],"",5
local-1597416320622,AIT_Table_1,[AppOwner:null],"",6
local-1597416320622,AIT_Table_1,[AppStatus:null],"",7
local-1597416320622,AIT_Table_1,"[AppStatus:null, ApplicationType:null, AppDescription:null, AppShortName:null, AppFullName:null, AppOwner:null, AppIntegrateWithOtherApps:null, AppUseWebTech:null]","",8
local-1597416320622,AIT_Table_1,[AppStatus:null],"",11
local-1597416320622,AIT_Table_1,[AppFullName:null],"",13
local-1597416320622,AIT_Table_1,[AppShortName:null],"",21
local-1597416320622,AIT_Table_1,[ApplicationType:null],"",26
local-1597416320622,AIT_Table_1,[AppOwner:null],"",28
local-1597416320622,AIT_Table_1,[AppFullName:null],"",31
local-1597416320622,AIT_Table_1,"[AppStatus:null, AppDescription:null]","",33
local-1597416320622,AIT_Table_1,[ApplicationType:null],"",35
local-1597416320622,AIT_Table_1,[AppShortName:null],"",36
local-1597416320622,AIT_Table_1,"[AppStatus:null, AppDescription:null]","",40
local-1597416320622,AIT_Table_1,[AppOwner:null],"",43
local-1597416320622,AIT_Table_1,[ApplicationType:null],"",44
local-1597416320622,AIT_Table_1,[AppStatus:null],"",45
local-1597416320622,AIT_Table_1,[AppShortName:null],"",51
local-1597416320622,AIT_Table_1,"[AppDescription:null, AppFullName:null]","",52
local-1597416320622,AIT_Table_1,[ApplicationType:null],"",54
local-1597416320622,AIT_Table_1,[AppDescription:null],"",57
local-1597416320622,AIT_Table_1,[AppOwner:null],"",58
local-1597416320622,AIT_Table_1,[AppDescription:null],"",62
local-1597416320622,AIT_Table_1,"[ApplicationType:null, AppShortName:null]","",66
local-1597416320622,AIT_Table_1,[AppOwner:null],"",70
local-1597416320622,AIT_Table_1,[AppFullName:null],"",73
local-1597416320622,AIT_Table_1,[AppDescription:null],"",74
local-1597416320622,AIT_Table_1,[ApplicationType:null],"",75
local-1597416320622,AIT_Table_1,"[AppStatus:null, ApplicationType:null, AppDescription:null, AppFullName:null, AppOwner:null, AppIntegrateWithOtherApps:null, AppUseWebTech:null, AppShortName:null]","",78
local-1597416320622,AIT_Table_1,[AppOwner:null],"",82
local-1597416320622,AIT_Table_1,[AppShortName:null],"",84
local-1597416320622,AIT_Table_1,[ApplicationType:null],"",87
local-1597416320622,AIT_Table_1,[AppDescription:null],"",89
local-1597416320622,AIT_Table_1,"[AppFullName:null, AppOwner:null]","",94
local-1597416320622,AIT_Table_1,"[ApplicationType:null, AppShortName:null, AppOwner:null]","",99
local-1597416320622,AIT_Table_1,"[AppDescription:null, AppFullName:null]","",100
local-1597416320622,AIT_Table_1,"[ApplicationType:null, AppFullName:null, AppOwner:null]","",102
local-1597416320622,AIT_Table_1,"",[AppID:null],103
