RunID,Data_Source_Name,Application_Name,Table_Name,Attribute_Name,inComingRule,Primary_key_val,ErrVal,ErrCd,Action,ErrMsg,Run_Timestamp
local-1597558284674,MS1,AIT1,AIT_Table_1,AppID,DQ6,2,null,ER6,Reject,Acloumn has null Value,2020-08-16 11:41:36
local-1597558284674,MS1,AIT1,AIT_Table_1,AppID,DQ6,4,null,ER6,Reject,Acloumn has null Value,2020-08-16 11:41:36
local-1597558284674,MS1,AIT1,AIT_Table_1,AppStatus,DQ6,7,null,ER6,warning,Acloumn has null Value,2020-08-16 11:41:36
local-1597558284674,MS1,AIT1,AIT_Table_1,AppStatus,DQ6,8,null,ER6,warning,Acloumn has null Value,2020-08-16 11:41:36
local-1597558284674,MS1,AIT1,AIT_Table_1,AppStatus,DQ6,11,null,ER6,warning,Acloumn has null Value,2020-08-16 11:41:36
local-1597558284674,MS1,AIT1,AIT_Table_1,AppStatus,DQ6,33,null,ER6,warning,Acloumn has null Value,2020-08-16 11:41:36
local-1597558284674,MS1,AIT1,AIT_Table_1,AppStatus,DQ6,40,null,ER6,warning,Acloumn has null Value,2020-08-16 11:41:36
local-1597558284674,MS1,AIT1,AIT_Table_1,AppStatus,DQ6,45,null,ER6,warning,Acloumn has null Value,2020-08-16 11:41:36
local-1597558284674,MS1,AIT1,AIT_Table_1,AppStatus,DQ6,78,null,ER6,warning,Acloumn has null Value,2020-08-16 11:41:36
local-1597558284674,MS1,AIT1,AIT_Table_1,AppID,DQ6,103,null,ER6,Reject,Acloumn has null Value,2020-08-16 11:41:36
local-1597558284674,MS1,AIT1,AIT_Table_1,AppFullName,DQ6,4,null,ER6,warning,Acloumn has null Value,2020-08-16 11:41:36
local-1597558284674,MS1,AIT1,AIT_Table_1,AppFullName,DQ6,8,null,ER6,warning,Acloumn has null Value,2020-08-16 11:41:36
local-1597558284674,MS1,AIT1,AIT_Table_1,AppFullName,DQ6,13,null,ER6,warning,Acloumn has null Value,2020-08-16 11:41:36
local-1597558284674,MS1,AIT1,AIT_Table_1,AppFullName,DQ6,31,null,ER6,warning,Acloumn has null Value,2020-08-16 11:41:36
local-1597558284674,MS1,AIT1,AIT_Table_1,AppFullName,DQ6,52,null,ER6,warning,Acloumn has null Value,2020-08-16 11:41:36
local-1597558284674,MS1,AIT1,AIT_Table_1,AppFullName,DQ6,73,null,ER6,warning,Acloumn has null Value,2020-08-16 11:41:36
local-1597558284674,MS1,AIT1,AIT_Table_1,AppFullName,DQ6,78,null,ER6,warning,Acloumn has null Value,2020-08-16 11:41:36
local-1597558284674,MS1,AIT1,AIT_Table_1,AppFullName,DQ6,94,null,ER6,warning,Acloumn has null Value,2020-08-16 11:41:36
local-1597558284674,MS1,AIT1,AIT_Table_1,AppFullName,DQ6,100,null,ER6,warning,Acloumn has null Value,2020-08-16 11:41:36
local-1597558284674,MS1,AIT1,AIT_Table_1,AppFullName,DQ6,102,null,ER6,warning,Acloumn has null Value,2020-08-16 11:41:36
