RunID,Data_Source_Name,Application_Name,Table_Name,Attribute_Name,inComingRule,Primary_key_val,ErrVal,ErrCd,Action,ErrMsg,Run_Timestamp
local-1597408445474,MS1,AIT1,AIT_Table_1,ApplicationType,DQ6,2,null,ER6,warning,Acloumn has null Value,2020-08-14 18:04:18
local-1597408445474,MS1,AIT1,AIT_Table_1,AppID,DQ6,2,null,ER6,Reject,Acloumn has null Value,2020-08-14 18:04:18
local-1597408445474,MS1,AIT1,AIT_Table_1,AppShortName,DQ6,4,null,ER6,warning,Acloumn has null Value,2020-08-14 18:04:18
local-1597408445474,MS1,AIT1,AIT_Table_1,AppFullName,DQ6,4,null,ER6,warning,Acloumn has null Value,2020-08-14 18:04:18
local-1597408445474,MS1,AIT1,AIT_Table_1,AppUseWebTech,DQ6,4,null,ER6,warning,Acloumn has null Value,2020-08-14 18:04:18
local-1597408445474,MS1,AIT1,AIT_Table_1,AppID,DQ6,4,null,ER6,Reject,Acloumn has null Value,2020-08-14 18:04:18
local-1597408445474,MS1,AIT1,AIT_Table_1,AppDescription,DQ6,5,null,ER6,warning,Acloumn has null Value,2020-08-14 18:04:18
local-1597408445474,MS1,AIT1,AIT_Table_1,AppOwner,DQ6,6,null,ER6,warning,Acloumn has null Value,2020-08-14 18:04:18
local-1597408445474,MS1,AIT1,AIT_Table_1,AppStatus,DQ6,7,null,ER6,warning,Acloumn has null Value,2020-08-14 18:04:18
local-1597408445474,MS1,AIT1,AIT_Table_1,AppDescription,DQ6,8,null,ER6,warning,Acloumn has null Value,2020-08-14 18:04:18
local-1597408445474,MS1,AIT1,AIT_Table_1,ApplicationType,DQ6,8,null,ER6,warning,Acloumn has null Value,2020-08-14 18:04:18
local-1597408445474,MS1,AIT1,AIT_Table_1,AppOwner,DQ6,8,null,ER6,warning,Acloumn has null Value,2020-08-14 18:04:18
local-1597408445474,MS1,AIT1,AIT_Table_1,AppShortName,DQ6,8,null,ER6,warning,Acloumn has null Value,2020-08-14 18:04:18
local-1597408445474,MS1,AIT1,AIT_Table_1,AppFullName,DQ6,8,null,ER6,warning,Acloumn has null Value,2020-08-14 18:04:18
local-1597408445474,MS1,AIT1,AIT_Table_1,AppStatus,DQ6,8,null,ER6,warning,Acloumn has null Value,2020-08-14 18:04:18
local-1597408445474,MS1,AIT1,AIT_Table_1,AppUseWebTech,DQ6,8,null,ER6,warning,Acloumn has null Value,2020-08-14 18:04:18
local-1597408445474,MS1,AIT1,AIT_Table_1,AppIntegrateWithOtherApps,DQ6,8,null,ER6,warning,Acloumn has null Value,2020-08-14 18:04:18
local-1597408445474,MS1,AIT1,AIT_Table_1,AppStatus,DQ6,11,null,ER6,warning,Acloumn has null Value,2020-08-14 18:04:18
local-1597408445474,MS1,AIT1,AIT_Table_1,AppFullName,DQ6,13,null,ER6,warning,Acloumn has null Value,2020-08-14 18:04:18
local-1597408445474,MS1,AIT1,AIT_Table_1,AppShortName,DQ6,21,null,ER6,warning,Acloumn has null Value,2020-08-14 18:04:18
local-1597408445474,MS1,AIT1,AIT_Table_1,ApplicationType,DQ6,26,null,ER6,warning,Acloumn has null Value,2020-08-14 18:04:18
local-1597408445474,MS1,AIT1,AIT_Table_1,AppOwner,DQ6,28,null,ER6,warning,Acloumn has null Value,2020-08-14 18:04:18
local-1597408445474,MS1,AIT1,AIT_Table_1,AppFullName,DQ6,31,null,ER6,warning,Acloumn has null Value,2020-08-14 18:04:18
local-1597408445474,MS1,AIT1,AIT_Table_1,AppDescription,DQ6,33,null,ER6,warning,Acloumn has null Value,2020-08-14 18:04:18
local-1597408445474,MS1,AIT1,AIT_Table_1,AppStatus,DQ6,33,null,ER6,warning,Acloumn has null Value,2020-08-14 18:04:18
local-1597408445474,MS1,AIT1,AIT_Table_1,ApplicationType,DQ6,35,null,ER6,warning,Acloumn has null Value,2020-08-14 18:04:18
local-1597408445474,MS1,AIT1,AIT_Table_1,AppShortName,DQ6,36,null,ER6,warning,Acloumn has null Value,2020-08-14 18:04:18
local-1597408445474,MS1,AIT1,AIT_Table_1,AppDescription,DQ6,40,null,ER6,warning,Acloumn has null Value,2020-08-14 18:04:18
local-1597408445474,MS1,AIT1,AIT_Table_1,AppStatus,DQ6,40,null,ER6,warning,Acloumn has null Value,2020-08-14 18:04:18
local-1597408445474,MS1,AIT1,AIT_Table_1,AppOwner,DQ6,43,null,ER6,warning,Acloumn has null Value,2020-08-14 18:04:18
local-1597408445474,MS1,AIT1,AIT_Table_1,ApplicationType,DQ6,44,null,ER6,warning,Acloumn has null Value,2020-08-14 18:04:18
local-1597408445474,MS1,AIT1,AIT_Table_1,AppStatus,DQ6,45,null,ER6,warning,Acloumn has null Value,2020-08-14 18:04:18
local-1597408445474,MS1,AIT1,AIT_Table_1,AppShortName,DQ6,51,null,ER6,warning,Acloumn has null Value,2020-08-14 18:04:18
local-1597408445474,MS1,AIT1,AIT_Table_1,AppDescription,DQ6,52,null,ER6,warning,Acloumn has null Value,2020-08-14 18:04:18
local-1597408445474,MS1,AIT1,AIT_Table_1,AppFullName,DQ6,52,null,ER6,warning,Acloumn has null Value,2020-08-14 18:04:18
local-1597408445474,MS1,AIT1,AIT_Table_1,ApplicationType,DQ6,54,null,ER6,warning,Acloumn has null Value,2020-08-14 18:04:18
local-1597408445474,MS1,AIT1,AIT_Table_1,AppDescription,DQ6,57,null,ER6,warning,Acloumn has null Value,2020-08-14 18:04:18
local-1597408445474,MS1,AIT1,AIT_Table_1,AppOwner,DQ6,58,null,ER6,warning,Acloumn has null Value,2020-08-14 18:04:18
local-1597408445474,MS1,AIT1,AIT_Table_1,AppDescription,DQ6,62,null,ER6,warning,Acloumn has null Value,2020-08-14 18:04:18
local-1597408445474,MS1,AIT1,AIT_Table_1,ApplicationType,DQ6,66,null,ER6,warning,Acloumn has null Value,2020-08-14 18:04:18
local-1597408445474,MS1,AIT1,AIT_Table_1,AppShortName,DQ6,66,null,ER6,warning,Acloumn has null Value,2020-08-14 18:04:18
local-1597408445474,MS1,AIT1,AIT_Table_1,AppOwner,DQ6,70,null,ER6,warning,Acloumn has null Value,2020-08-14 18:04:18
local-1597408445474,MS1,AIT1,AIT_Table_1,AppFullName,DQ6,73,null,ER6,warning,Acloumn has null Value,2020-08-14 18:04:18
local-1597408445474,MS1,AIT1,AIT_Table_1,AppDescription,DQ6,74,null,ER6,warning,Acloumn has null Value,2020-08-14 18:04:18
local-1597408445474,MS1,AIT1,AIT_Table_1,ApplicationType,DQ6,75,null,ER6,warning,Acloumn has null Value,2020-08-14 18:04:18
local-1597408445474,MS1,AIT1,AIT_Table_1,ApplicationType,DQ6,78,null,ER6,warning,Acloumn has null Value,2020-08-14 18:04:18
local-1597408445474,MS1,AIT1,AIT_Table_1,AppDescription,DQ6,78,null,ER6,warning,Acloumn has null Value,2020-08-14 18:04:18
local-1597408445474,MS1,AIT1,AIT_Table_1,AppShortName,DQ6,78,null,ER6,warning,Acloumn has null Value,2020-08-14 18:04:18
local-1597408445474,MS1,AIT1,AIT_Table_1,AppOwner,DQ6,78,null,ER6,warning,Acloumn has null Value,2020-08-14 18:04:18
local-1597408445474,MS1,AIT1,AIT_Table_1,AppFullName,DQ6,78,null,ER6,warning,Acloumn has null Value,2020-08-14 18:04:18
local-1597408445474,MS1,AIT1,AIT_Table_1,AppStatus,DQ6,78,null,ER6,warning,Acloumn has null Value,2020-08-14 18:04:18
local-1597408445474,MS1,AIT1,AIT_Table_1,AppUseWebTech,DQ6,78,null,ER6,warning,Acloumn has null Value,2020-08-14 18:04:18
local-1597408445474,MS1,AIT1,AIT_Table_1,AppIntegrateWithOtherApps,DQ6,78,null,ER6,warning,Acloumn has null Value,2020-08-14 18:04:18
local-1597408445474,MS1,AIT1,AIT_Table_1,AppOwner,DQ6,82,null,ER6,warning,Acloumn has null Value,2020-08-14 18:04:18
local-1597408445474,MS1,AIT1,AIT_Table_1,AppShortName,DQ6,84,null,ER6,warning,Acloumn has null Value,2020-08-14 18:04:18
local-1597408445474,MS1,AIT1,AIT_Table_1,ApplicationType,DQ6,87,null,ER6,warning,Acloumn has null Value,2020-08-14 18:04:18
local-1597408445474,MS1,AIT1,AIT_Table_1,AppDescription,DQ6,89,null,ER6,warning,Acloumn has null Value,2020-08-14 18:04:18
local-1597408445474,MS1,AIT1,AIT_Table_1,AppOwner,DQ6,94,null,ER6,warning,Acloumn has null Value,2020-08-14 18:04:18
local-1597408445474,MS1,AIT1,AIT_Table_1,AppFullName,DQ6,94,null,ER6,warning,Acloumn has null Value,2020-08-14 18:04:18
local-1597408445474,MS1,AIT1,AIT_Table_1,ApplicationType,DQ6,99,null,ER6,warning,Acloumn has null Value,2020-08-14 18:04:18
local-1597408445474,MS1,AIT1,AIT_Table_1,AppOwner,DQ6,99,null,ER6,warning,Acloumn has null Value,2020-08-14 18:04:18
local-1597408445474,MS1,AIT1,AIT_Table_1,AppShortName,DQ6,99,null,ER6,warning,Acloumn has null Value,2020-08-14 18:04:18
local-1597408445474,MS1,AIT1,AIT_Table_1,AppDescription,DQ6,100,null,ER6,warning,Acloumn has null Value,2020-08-14 18:04:18
local-1597408445474,MS1,AIT1,AIT_Table_1,AppFullName,DQ6,100,null,ER6,warning,Acloumn has null Value,2020-08-14 18:04:18
local-1597408445474,MS1,AIT1,AIT_Table_1,ApplicationType,DQ6,102,null,ER6,warning,Acloumn has null Value,2020-08-14 18:04:18
local-1597408445474,MS1,AIT1,AIT_Table_1,AppShortName,DQ6,104,null,ER6,warning,Acloumn has null Value,2020-08-14 18:04:18
local-1597408445474,MS1,AIT1,AIT_Table_1,AppFullName,DQ6,104,null,ER6,warning,Acloumn has null Value,2020-08-14 18:04:18
local-1597408445474,MS1,AIT1,AIT_Table_1,AppUseWebTech,DQ6,104,null,ER6,warning,Acloumn has null Value,2020-08-14 18:04:18
local-1597408445474,MS1,AIT1,AIT_Table_1,AppDescription,DQ6,105,null,ER6,warning,Acloumn has null Value,2020-08-14 18:04:18
local-1597408445474,MS1,AIT1,AIT_Table_1,AppOwner,DQ6,106,null,ER6,warning,Acloumn has null Value,2020-08-14 18:04:18
local-1597408445474,MS1,AIT1,AIT_Table_1,AppStatus,DQ6,107,null,ER6,warning,Acloumn has null Value,2020-08-14 18:04:18
local-1597408445474,MS1,AIT1,AIT_Table_1,ApplicationType,DQ6,108,null,ER6,warning,Acloumn has null Value,2020-08-14 18:04:18
local-1597408445474,MS1,AIT1,AIT_Table_1,AppDescription,DQ6,108,null,ER6,warning,Acloumn has null Value,2020-08-14 18:04:18
local-1597408445474,MS1,AIT1,AIT_Table_1,AppOwner,DQ6,108,null,ER6,warning,Acloumn has null Value,2020-08-14 18:04:18
local-1597408445474,MS1,AIT1,AIT_Table_1,AppShortName,DQ6,108,null,ER6,warning,Acloumn has null Value,2020-08-14 18:04:18
local-1597408445474,MS1,AIT1,AIT_Table_1,AppFullName,DQ6,108,null,ER6,warning,Acloumn has null Value,2020-08-14 18:04:18
local-1597408445474,MS1,AIT1,AIT_Table_1,AppStatus,DQ6,108,null,ER6,warning,Acloumn has null Value,2020-08-14 18:04:18
local-1597408445474,MS1,AIT1,AIT_Table_1,AppUseWebTech,DQ6,108,null,ER6,warning,Acloumn has null Value,2020-08-14 18:04:18
local-1597408445474,MS1,AIT1,AIT_Table_1,AppIntegrateWithOtherApps,DQ6,108,null,ER6,warning,Acloumn has null Value,2020-08-14 18:04:18
local-1597408445474,MS1,AIT1,AIT_Table_1,AppID,DQ6,110,null,ER6,Reject,Acloumn has null Value,2020-08-14 18:04:18
local-1597408445474,MS1,AIT1,AIT_Table_1,AppStatus,DQ6,111,null,ER6,warning,Acloumn has null Value,2020-08-14 18:04:18
local-1597408445474,MS1,AIT1,AIT_Table_1,AppFullName,DQ6,113,null,ER6,warning,Acloumn has null Value,2020-08-14 18:04:18
local-1597408445474,MS1,AIT1,AIT_Table_1,AppShortName,DQ6,121,null,ER6,warning,Acloumn has null Value,2020-08-14 18:04:18
local-1597408445474,MS1,AIT1,AIT_Table_1,ApplicationType,DQ6,126,null,ER6,warning,Acloumn has null Value,2020-08-14 18:04:18
local-1597408445474,MS1,AIT1,AIT_Table_1,AppOwner,DQ6,128,null,ER6,warning,Acloumn has null Value,2020-08-14 18:04:18
local-1597408445474,MS1,AIT1,AIT_Table_1,AppID,DQ6,130,null,ER6,Reject,Acloumn has null Value,2020-08-14 18:04:18
local-1597408445474,MS1,AIT1,AIT_Table_1,AppFullName,DQ6,131,null,ER6,warning,Acloumn has null Value,2020-08-14 18:04:18
local-1597408445474,MS1,AIT1,AIT_Table_1,AppDescription,DQ6,133,null,ER6,warning,Acloumn has null Value,2020-08-14 18:04:18
local-1597408445474,MS1,AIT1,AIT_Table_1,AppStatus,DQ6,133,null,ER6,warning,Acloumn has null Value,2020-08-14 18:04:18
local-1597408445474,MS1,AIT1,AIT_Table_1,AppID,DQ6,133,null,ER6,Reject,Acloumn has null Value,2020-08-14 18:04:18
local-1597408445474,MS1,AIT1,AIT_Table_1,ApplicationType,DQ6,135,null,ER6,warning,Acloumn has null Value,2020-08-14 18:04:18
local-1597408445474,MS1,AIT1,AIT_Table_1,AppShortName,DQ6,136,null,ER6,warning,Acloumn has null Value,2020-08-14 18:04:18
local-1597408445474,MS1,AIT1,AIT_Table_1,AppDescription,DQ6,140,null,ER6,warning,Acloumn has null Value,2020-08-14 18:04:18
local-1597408445474,MS1,AIT1,AIT_Table_1,AppStatus,DQ6,140,null,ER6,warning,Acloumn has null Value,2020-08-14 18:04:18
local-1597408445474,MS1,AIT1,AIT_Table_1,AppOwner,DQ6,143,null,ER6,warning,Acloumn has null Value,2020-08-14 18:04:18
local-1597408445474,MS1,AIT1,AIT_Table_1,ApplicationType,DQ6,144,null,ER6,warning,Acloumn has null Value,2020-08-14 18:04:18
local-1597408445474,MS1,AIT1,AIT_Table_1,AppStatus,DQ6,145,null,ER6,warning,Acloumn has null Value,2020-08-14 18:04:18
local-1597408445474,MS1,AIT1,AIT_Table_1,AppShortName,DQ6,151,null,ER6,warning,Acloumn has null Value,2020-08-14 18:04:18
local-1597408445474,MS1,AIT1,AIT_Table_1,AppDescription,DQ6,152,null,ER6,warning,Acloumn has null Value,2020-08-14 18:04:18
local-1597408445474,MS1,AIT1,AIT_Table_1,AppFullName,DQ6,152,null,ER6,warning,Acloumn has null Value,2020-08-14 18:04:18
local-1597408445474,MS1,AIT1,AIT_Table_1,ApplicationType,DQ6,154,null,ER6,warning,Acloumn has null Value,2020-08-14 18:04:18
local-1597408445474,MS1,AIT1,AIT_Table_1,AppDescription,DQ6,157,null,ER6,warning,Acloumn has null Value,2020-08-14 18:04:18
local-1597408445474,MS1,AIT1,AIT_Table_1,AppOwner,DQ6,158,null,ER6,warning,Acloumn has null Value,2020-08-14 18:04:18
local-1597408445474,MS1,AIT1,AIT_Table_1,AppDescription,DQ6,162,null,ER6,warning,Acloumn has null Value,2020-08-14 18:04:18
local-1597408445474,MS1,AIT1,AIT_Table_1,ApplicationType,DQ6,166,null,ER6,warning,Acloumn has null Value,2020-08-14 18:04:18
local-1597408445474,MS1,AIT1,AIT_Table_1,AppShortName,DQ6,166,null,ER6,warning,Acloumn has null Value,2020-08-14 18:04:18
local-1597408445474,MS1,AIT1,AIT_Table_1,AppOwner,DQ6,170,null,ER6,warning,Acloumn has null Value,2020-08-14 18:04:18
local-1597408445474,MS1,AIT1,AIT_Table_1,AppFullName,DQ6,173,null,ER6,warning,Acloumn has null Value,2020-08-14 18:04:18
local-1597408445474,MS1,AIT1,AIT_Table_1,AppDescription,DQ6,174,null,ER6,warning,Acloumn has null Value,2020-08-14 18:04:18
local-1597408445474,MS1,AIT1,AIT_Table_1,ApplicationType,DQ6,175,null,ER6,warning,Acloumn has null Value,2020-08-14 18:04:18
local-1597408445474,MS1,AIT1,AIT_Table_1,ApplicationType,DQ6,178,null,ER6,warning,Acloumn has null Value,2020-08-14 18:04:18
local-1597408445474,MS1,AIT1,AIT_Table_1,AppDescription,DQ6,178,null,ER6,warning,Acloumn has null Value,2020-08-14 18:04:18
local-1597408445474,MS1,AIT1,AIT_Table_1,AppOwner,DQ6,178,null,ER6,warning,Acloumn has null Value,2020-08-14 18:04:18
local-1597408445474,MS1,AIT1,AIT_Table_1,AppShortName,DQ6,178,null,ER6,warning,Acloumn has null Value,2020-08-14 18:04:18
local-1597408445474,MS1,AIT1,AIT_Table_1,AppFullName,DQ6,178,null,ER6,warning,Acloumn has null Value,2020-08-14 18:04:18
local-1597408445474,MS1,AIT1,AIT_Table_1,AppStatus,DQ6,178,null,ER6,warning,Acloumn has null Value,2020-08-14 18:04:18
local-1597408445474,MS1,AIT1,AIT_Table_1,AppIntegrateWithOtherApps,DQ6,178,null,ER6,warning,Acloumn has null Value,2020-08-14 18:04:18
local-1597408445474,MS1,AIT1,AIT_Table_1,AppUseWebTech,DQ6,178,null,ER6,warning,Acloumn has null Value,2020-08-14 18:04:18
local-1597408445474,MS1,AIT1,AIT_Table_1,AppOwner,DQ6,182,null,ER6,warning,Acloumn has null Value,2020-08-14 18:04:18
local-1597408445474,MS1,AIT1,AIT_Table_1,AppShortName,DQ6,184,null,ER6,warning,Acloumn has null Value,2020-08-14 18:04:18
local-1597408445474,MS1,AIT1,AIT_Table_1,ApplicationType,DQ6,187,null,ER6,warning,Acloumn has null Value,2020-08-14 18:04:18
local-1597408445474,MS1,AIT1,AIT_Table_1,AppDescription,DQ6,189,null,ER6,warning,Acloumn has null Value,2020-08-14 18:04:18
local-1597408445474,MS1,AIT1,AIT_Table_1,AppOwner,DQ6,194,null,ER6,warning,Acloumn has null Value,2020-08-14 18:04:18
local-1597408445474,MS1,AIT1,AIT_Table_1,AppFullName,DQ6,194,null,ER6,warning,Acloumn has null Value,2020-08-14 18:04:18
local-1597408445474,MS1,AIT1,AIT_Table_1,ApplicationType,DQ6,199,null,ER6,warning,Acloumn has null Value,2020-08-14 18:04:18
local-1597408445474,MS1,AIT1,AIT_Table_1,AppOwner,DQ6,199,null,ER6,warning,Acloumn has null Value,2020-08-14 18:04:18
local-1597408445474,MS1,AIT1,AIT_Table_1,AppShortName,DQ6,199,null,ER6,warning,Acloumn has null Value,2020-08-14 18:04:18
local-1597408445474,MS1,AIT1,AIT_Table_1,AppDescription,DQ6,200,null,ER6,warning,Acloumn has null Value,2020-08-14 18:04:18
local-1597408445474,MS1,AIT1,AIT_Table_1,ApplicationType,DQ6,202,null,ER6,warning,Acloumn has null Value,2020-08-14 18:04:18
local-1597408445474,MS1,AIT1,AIT_Table_1,AppShortName,DQ6,204,null,ER6,warning,Acloumn has null Value,2020-08-14 18:04:18
local-1597408445474,MS1,AIT1,AIT_Table_1,AppFullName,DQ6,204,null,ER6,warning,Acloumn has null Value,2020-08-14 18:04:18
local-1597408445474,MS1,AIT1,AIT_Table_1,AppUseWebTech,DQ6,204,null,ER6,warning,Acloumn has null Value,2020-08-14 18:04:18
local-1597408445474,MS1,AIT1,AIT_Table_1,AppDescription,DQ6,205,null,ER6,warning,Acloumn has null Value,2020-08-14 18:04:18
local-1597408445474,MS1,AIT1,AIT_Table_1,AppOwner,DQ6,206,null,ER6,warning,Acloumn has null Value,2020-08-14 18:04:18
local-1597408445474,MS1,AIT1,AIT_Table_1,AppStatus,DQ6,207,null,ER6,warning,Acloumn has null Value,2020-08-14 18:04:18
local-1597408445474,MS1,AIT1,AIT_Table_1,ApplicationType,DQ6,208,null,ER6,warning,Acloumn has null Value,2020-08-14 18:04:18
local-1597408445474,MS1,AIT1,AIT_Table_1,AppDescription,DQ6,208,null,ER6,warning,Acloumn has null Value,2020-08-14 18:04:18
local-1597408445474,MS1,AIT1,AIT_Table_1,AppOwner,DQ6,208,null,ER6,warning,Acloumn has null Value,2020-08-14 18:04:18
local-1597408445474,MS1,AIT1,AIT_Table_1,AppShortName,DQ6,208,null,ER6,warning,Acloumn has null Value,2020-08-14 18:04:18
local-1597408445474,MS1,AIT1,AIT_Table_1,AppFullName,DQ6,208,null,ER6,warning,Acloumn has null Value,2020-08-14 18:04:18
local-1597408445474,MS1,AIT1,AIT_Table_1,AppStatus,DQ6,208,null,ER6,warning,Acloumn has null Value,2020-08-14 18:04:18
local-1597408445474,MS1,AIT1,AIT_Table_1,AppUseWebTech,DQ6,208,null,ER6,warning,Acloumn has null Value,2020-08-14 18:04:18
